"Year","PRODCOM code","CN code"
"2003","2710T242","72286010"
"2003","2710T242","72286081"
"2003","2710T242","72288010"
"2003","2710T242","72288090"
"2003","2710T243","72161000"
"2003","2710T243","72162100"
"2003","2710T243","72162200"
"2003","2710T243","72164010"
"2003","2710T243","72164090"
"2003","2710T243","72165010"
"2003","2710T243","72165091"
"2003","2710T243","72165099"
"2003","2710T243","72169910"
"2003","15201270","03042051"
"2003","15201270","03042053"
"2003","15201270","03042055"
"2003","15201270","03042056"
"2003","15201270","03042058"
"2003","15201270","03042059"
"2003","15201270","03042061"
"2003","15201270","03042069"
"2003","28221130","73221100"
"2003","28221300","84039010"
"2003","28221300","84039090"
"2003","28301330","84029000"
"2003","28301350","84049000"
"2003","28302200","84014000"
"2003","28751223","73239310"
"2003","28751229","73239390"
"2003","28751253","74181100"
"2003","28751253","74181900"
"2003","28751255","76151910"
"2003","28751257","76151100"
"2003","15201270","03042071"
"2003","15201270","03042073"
"2003","15201270","03042075"
"2003","15201270","03042079"
"2003","15201270","03042081"
"2003","15201270","03042083"
"2003","15201270","03042085"
"2003","15201270","03042087"
"2003","15201270","03042088"
"2003","15201270","03042091"
"2003","15201270","03042095"
"2003","15201290","03049005"
"2003","15201290","03049010"
"2003","15201290","03049022"
"2003","15201290","03049031"
"2003","15201290","03049035"
"2003","15201290","03049038"
"2003","15201290","03049039"
"2003","15201290","03049041"
"2003","15201290","03049045"
"2003","15201290","03049047"
"2003","15201290","03049049"
"2003","15201290","03049051"
"2003","15201290","03049055"
"2003","15201290","03049057"
"2003","15201290","03049059"
"2003","15201290","03049061"
"2003","15201290","03049065"
"2003","15201290","03049097"
"2003","15201310","03051000"
"2003","15201310","03052000"
"2003","15201330","03053011"
"2003","15201330","03053019"
"2003","15201330","03053030"
"2003","15201330","03053050"
"2003","15201330","03053090"
"2003","15201353","03054100"
"2003","15201355","03054200"
"2003","15201359","03054910"
"2003","15201359","03054920"
"2003","15201359","03054930"
"2003","15201359","03054945"
"2003","15201359","03054950"
"2003","15201359","03054980"
"2003","15201370","03055110"
"2003","15201370","03055190"
"2003","15201370","03055911"
"2003","15201370","03055919"
"2003","15201370","03055930"
"2003","15201370","03055950"
"2003","15201370","03055960"
